Time stamp;;;Electrical load [MWh];;;;Water consumption [m3/h];;;Solar data [Wh/m2];;;Wind speed [10 magl] [m/s];;;Temperature at 2m [¡C];;
Month;Hour of the day;Hour of the year;Load A;Load B;Load A + random;Load B + random;Regime1 (m?/h);Regime2 (m?/h);Regime3 (m?/h); IDEAM ; MERRA2; ERA5 ; IDEAM ; MERRA2; ERA5 ; IDEAM ; MERRA2; ERA5 
1;19;43;4.8;5.1;4.8;5.0;0.0;107.4;121.6;32;15.5224;15.46;4.667;4.81;6.764; 30.10 ;25.00;29.081
1;20;44;4.8;5.2;4.8;5.1;0.0;107.4;134.8;0;0;0;4.108;4.72;7.061; 29.85 ;24.71;27.976
1;21;45;5.1;5.3;5.0;5.3;0.0;107.4;121.6;0;0;0;4.367;4.69;6.89; 29.59 ;24.47;27.219
1;22;46;5.2;5.6;5.1;5.6;0.0;107.4;95.1;0;0;0;5.008;4.66;6.76; 29.34 ;24.28;26.6
1;23;47;5.1;5.5;5.1;5.5;0.0;107.4;40.9;0;0;0;5.858;4.74;6.736; 29.08 ;24.18;26.215
1;24;48;5.0;5.4;5.0;5.4;0.0;107.4;17.7;0;0;0;5.625;5.17;6.68; 28.83 ;24.19;25.899
1;1;49;4.6;4.0;4.5;4.0;0.0;107.4;9.6;0;0;0;4.967;5.31;6.546; 28.58 ;24.17;25.691
1;2;50;4.8;4.3;4.8;4.4;0.0;107.4;2.4;0;0;0;4.725;5.31;6.439; 28.32 ;24.12;25.461
1;3;51;4.8;4.6;4.7;4.6;0.0;107.4;3.6;0;0;0;3.858;5.6;5.71; 28.07 ;24.33;25.237
1;4;52;4.8;4.7;4.9;4.7;0.0;107.4;7.2;0;0;0;3.85;6.34;5.617; 27.82 ;25.52;25.054
1;5;53;4.7;4.6;4.8;4.6;0.0;107.4;15.6;0;0;0;4.242;6.58;5.607; 27.56 ;27.06;24.921
1;6;54;4.6;4.3;4.6;4.2;0.0;107.4;40.9;0;0;0;5.158;6.27;5.598; 27.31 ;28.48;24.78
1;7;55;4.6;4.9;4.6;4.9;0.0;107.4;108.4;0;0;0;4.575;5.84;5.511; 27.05 ;29.59;24.634
1;8;56;4.8;5.1;4.8;5.0;0.0;107.4;183.7;34;44.1527;30.33;4.967;5.59;5.36; 26.80 ;30.34;24.867
1;9;57;4.8;5.7;4.9;5.8;286.3;107.4;69.5;181.2;238.6509;173.39;5.942;5.59;6.887; 27.88 ;30.70;26.333
1;10;58;5.0;6.2;5.0;6.3;286.3;107.4;80.7;434.5;468.0681;330.44;5.992;5.63;6.655; 28.97 ;30.86;27.98
1;11;59;4.9;5.5;4.9;5.5;286.3;107.4;67.4;571.7;660.0928;484.14;6.108;5.68;6.518; 30.05 ;30.71;29.704
1;12;60;4.8;5.5;4.7;5.4;286.3;107.4;216.7;743.9;796.2978;633.5;6.183;5.74;6.453; 31.13 ;30.30;31.216
1;13;61;4.7;5.4;4.6;5.3;286.3;107.4;310.6;565.7;853.7801;683.23;6.767;5.71;6.374; 32.22 ;29.52;32.264
